University_Name,IA ID,University_Type,IA_City,Former_Name,Name _Change _Date,Address,Establishment,Website_Link,Recognizing_Body,Date_of_Extration,UGC_Source_Link
Pandit Sundar Lal Sharma (Open) University Chhatisgarh,Not Found,(State University),Bilaspur,NA,NA,Village & PO Birkona Koni-Birkona Road Distt. Bilaspur-495009 Chhatisgarh.,2004,https://pssou.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Panjab University,306717,(State University),Chandigarh,NA,NA,Sector 14 Chandigarh-160 014.,1947,https://www.puchd.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Parul University,317525,(Private University),Vadodara,NA,NA,PO Limda Tal – Waghodia Dist. Vadodara-391760 Gujarat.,21.04.2015,https://paruluniversity.ac.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Patliputra University,Not Found,(State University),Patna,NA,NA,Kankarbagh Road Near Rajendra Nagar Terminal Patna- 800020 Bihar,17.08.2018,http://ppup.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Patna University,305677,(State University),Patna,NA,NA,Patna–800 005 Bihar,1917,https://pup.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
PDM University,Not Found,(Private University),Bahadurgarh Jhajjar,NA,NA,Post Box No. 15 Sector – 3A Sarai Aurangabad Bahadurgarh-124507 Haryana.,14.01.2016,https://www.pdm.ac.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
People’s University,313940,(Private University),Bhopal,NA,NA,Bhanpur Bhopal – 462 037 Madhya Pradesh.,04.05.2011,https://www.peoplesuniversity.edu.in/,University Grants Commission (UGC),18/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Periyar Maniammai Institute of Science & Technology (PMIST),369340,(Deemed University),Thanjavur,NA,NA,Periyar Nagar Vallam Thanjavur -613 403 Tamil Nadu,17.08.2007,https://www.pmu.edu/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Periyar University,305681,(State University),Salem,NA,NA,Periyar Palkalai Nagar Salem-636 011 Tamil Nadu. .,1998,https://www.periyaruniversity.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
PES University,Not Found,(Private University),Bangalore,NA,NA,100 Feet Ring Road BSK III Stage Bangalore – 560 085 Karnataka,16.05.2013,https://pes.edu/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Plaksha University Punjab,Not Found,(Private University),Sahibzada Ajit Singh Nagar,NA,NA,Block B Sector – 101 Alpha IT City SAS Nanar Mohali – 140306 Punjab,20.08.2021,https://plaksha.edu.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Plastindia International University,Not Found,(Private University),Valsad,NA,NA,Dungra GIDC VAPI Dist. Valsad – 396195 Gujarat.,09.05.2016,https://www.plastindia.edu.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Pondicherry University,305690,(Central University),Pondicherry,NA,NA,R. Venkataraman Nagar Kalapet Puducherry - 605 014,1985,https://www.pondiuni.edu.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Ponnaiyah Ramajayam Institute of Science & Technology (PRIST),330183,(Deemed University),Thanjavur,NA,NA,Yagappa Chavadi Thanjavur – 614 904 Tamilnadu.,04.01.2008,https://www.prist.ac.in/contact-us/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Poornima University,Not Found,(Private University),Jaipur,NA,NA,Ramchandrapura Sitapura Extension Jaipur Rajasthan.,16.05.2012,https://poornima.edu.in/online/?utm_source=Adsgrip&utm_medium=GMB&utm_campaign=Organic,University Grants Commission (UGC),18/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Potti Sreeramulu Telugu University,Not Found,(State University),Hyderabad,NA,NA,Lalitha Kala Kshetram Public Gardens Nampally Hyderabad-500 004 Telangana. .,1985,https://www.pstucet.org/index.html,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
